position,q1,q2,q3,year,Grand Prix
20,1:53.050,\N,\N,2010,Malaysian Grand Prix
6,1:35.641,1:34.928,1:35.034,2010,Chinese Grand Prix
3,1:21.723,1:21.415,1:20.829,2010,Spanish Grand Prix
5,1:15.676,1:14.527,1:14.432,2010,Monaco Grand Prix
2,1:27.667,1:27.013,1:26.433,2010,Turkish Grand Prix
1,1:15.889,1:15.528,1:15.105,2010,Canadian Grand Prix
3,1:38.697,1:38.158,1:37.969,2010,European Grand Prix
4,1:31.297,1:31.118,1:30.556,2010,British Grand Prix
6,1:15.505,1:14.488,1:14.566,2010,German Grand Prix
5,1:21.455,1:20.877,1:20.499,2010,Hungarian Grand Prix
2,1:56.706,1:46.211,1:45.863,2010,Belgian Grand Prix
5,1:22.830,1:22.394,1:22.623,2010,Italian Grand Prix
3,1:48.296,1:46.042,1:45.571,2010,Singapore Grand Prix
3,1:32.809,1:31.523,1:31.169,2010,Japanese Grand Prix
4,1:37.113,1:36.197,1:36.062,2010,Korean Grand Prix
4,1:19.931,1:18.921,1:15.747,2010,Brazilian Grand Prix
2,1:40.335,1:40.119,1:39.425,2010,Abu Dhabi Grand Prix
2,1:25.384,1:24.595,1:24.307,2011,Australian Grand Prix
2,1:36.861,1:35.852,1:34.974,2011,Malaysian Grand Prix
3,1:36.091,1:34.486,1:34.463,2011,Chinese Grand Prix
4,1:27.091,1:26.066,1:25.595,2011,Turkish Grand Prix
3,1:24.370,1:22.148,1:21.961,2011,Spanish Grand Prix
7,1:15.207,1:14.275,1:15.280,2011,Monaco Grand Prix
5,1:14.114,1:13.926,1:13.565,2011,Canadian Grand Prix
3,1:39.244,1:37.727,1:37.380,2011,European Grand Prix
10,1:33.581,1:32.505,1:32.376,2011,British Grand Prix
2,1:32.934,1:30.998,1:30.134,2011,German Grand Prix
2,1:21.636,1:21.105,1:19.978,2011,Hungarian Grand Prix
2,2:03.008,2:02.823,1:48.730,2011,Belgian Grand Prix
4,1:47.014,1:46.829,1:44.809,2011,Singapore Grand Prix
3,1:32.843,1:31.139,1:30.617,2011,Japanese Grand Prix
1,1:37.525,1:36.526,1:35.820,2011,Korean Grand Prix
2,1:26.563,1:25.019,1:24.474,2011,Indian Grand Prix
2,1:39.782,1:38.434,1:38.622,2011,Abu Dhabi Grand Prix
4,1:13.361,1:12.811,1:12.480,2011,Brazilian Grand Prix
1,1:26.800,1:25.626,1:24.922,2012,Australian Grand Prix
1,1:37.813,1:37.106,1:36.219,2012,Malaysian Grand Prix
2,1:36.763,1:35.902,1:35.626,2012,Chinese Grand Prix
2,1:34.813,1:33.209,1:32.520,2012,Bahrain Grand Prix
1,1:22.583,1:22.465,1:21.707,2012,Spanish Grand Prix
4,1:16.063,1:15.166,1:14.583,2012,Monaco Grand Prix
2,1:14.891,1:14.371,1:14.087,2012,Canadian Grand Prix
2,1:39.169,1:38.616,1:38.410,2012,European Grand Prix
8,1:47.433,1:54.897,1:53.543,2012,British Grand Prix
8,1:16.221,1:37.365,1:44.186,2012,German Grand Prix
1,1:21.794,1:21.060,1:20.953,2012,Hungarian Grand Prix
8,1:49.605,1:48.563,1:48.394,2012,Belgian Grand Prix
1,1:24.211,1:24.394,1:24.010,2012,Italian Grand Prix
1,1:48.285,1:46.665,1:46.362,2012,Singapore Grand Prix
9,1:33.061,1:32.121,1:32.327,2012,Japanese Grand Prix
3,1:39.180,1:38.000,1:37.469,2012,Korean Grand Prix
3,1:26.516,1:25.816,1:25.544,2012,Indian Grand Prix
1,1:41.497,1:40.901,1:40.630,2012,Abu Dhabi Grand Prix
2,1:37.058,1:36.795,1:35.766,2012,United States Grand Prix
1,1:15.075,1:13.398,1:12.458,2012,Brazilian Grand Prix
3,1:45.456,1:36.625,1:28.087,2013,Australian Grand Prix
4,1:37.513,1:36.517,1:51.699,2013,Malaysian Grand Prix
1,1:35.793,1:35.078,1:34.484,2013,Chinese Grand Prix
4,1:33.498,1:33.346,1:32.762,2013,Bahrain Grand Prix
2,1:21.728,1:21.001,1:20.972,2013,Spanish Grand Prix
2,1:23.779,1:16.265,1:13.967,2013,Monaco Grand Prix
2,1:23.801,1:27.649,1:25.512,2013,Canadian Grand Prix
1,1:30.995,1:31.224,1:29.607,2013,British Grand Prix
1,1:31.131,1:30.152,1:29.398,2013,German Grand Prix
1,1:20.363,1:19.862,1:19.388,2013,Hungarian Grand Prix
1,2:00.368,1:49.067,2:01.012,2013,Belgian Grand Prix
12,1:24.589,1:24.803,\N,2013,Italian Grand Prix
5,1:44.196,1:43.920,1:43.254,2013,Singapore Grand Prix
2,1:38.574,1:37.824,1:37.420,2013,Korean Grand Prix
3,1:32.340,1:31.636,1:31.253,2013,Japanese Grand Prix
3,1:25.802,1:25.259,1:24.941,2013,Indian Grand Prix
4,1:40.693,1:40.477,1:40.501,2013,Abu Dhabi Grand Prix
5,1:37.959,1:37.854,1:37.345,2013,United States Grand Prix
5,1:25.342,1:26.698,1:27.677,2013,Brazilian Grand Prix
1,1:31.699,1:42.890,1:44.231,2014,Australian Grand Prix
1,1:57.202,1:59.041,1:59.431,2014,Malaysian Grand Prix
2,1:35.323,1:33.872,1:33.464,2014,Bahrain Grand Prix
2,1:23.976,1:23.172,1:22.725,2011,Italian Grand Prix
1,1:55.516,1:54.029,1:53.860,2014,Chinese Grand Prix
1,1:27.238,1:26.210,1:25.232,2014,Spanish Grand Prix
2,1:17.823,1:16.354,1:16.048,2014,Monaco Grand Prix
2,1:15.750,1:15.054,1:14.953,2014,Canadian Grand Prix
9,1:09.514,1:09.092,\N,2014,Austrian Grand Prix
6,1:41.058,1:34.870,1:39.232,2014,British Grand Prix
16,1:18.683,\N,\N,2014,German Grand Prix
21,\N,\N,\N,2014,Hungarian Grand Prix
2,2:07.280,2:06.609,2:05.819,2014,Belgian Grand Prix
1,1:25.363,1:24.560,1:24.109,2014,Italian Grand Prix
1,1:46.921,1:46.287,1:45.681,2014,Singapore Grand Prix
2,1:33.611,1:32.982,1:32.703,2014,Japanese Grand Prix
1,1:38.759,1:38.338,1:38.513,2014,Russian Grand Prix
2,1:37.196,1:37.287,1:36.443,2014,United States Grand Prix
2,1:10.457,1:10.712,1:10.056,2014,Brazilian Grand Prix
2,1:41.207,1:40.920,1:40.866,2014,Abu Dhabi Grand Prix
1,1:28.586,1:26.894,1:26.327,2015,Australian Grand Prix
1,1:39.269,1:41.517,1:49.834,2015,Malaysian Grand Prix
1,1:38.285,1:36.423,1:35.782,2015,Chinese Grand Prix
1,1:33.928,1:32.669,1:32.571,2015,Bahrain Grand Prix
2,1:26.382,1:25.740,1:24.948,2015,Spanish Grand Prix
1,1:16.588,1:15.864,1:15.098,2015,Monaco Grand Prix
1,1:15.895,1:14.661,1:14.393,2015,Canadian Grand Prix
1,1:12.218,1:09.062,1:08.455,2015,Austrian Grand Prix
1,1:33.796,1:33.068,1:32.248,2015,British Grand Prix
1,1:22.890,1:22.285,1:22.020,2015,Hungarian Grand Prix
1,1:48.908,1:48.024,1:47.197,2015,Belgian Grand Prix
1,1:24.251,1:23.383,1:23.397,2015,Italian Grand Prix
5,1:45.765,1:45.650,1:45.300,2015,Singapore Grand Prix
2,1:32.844,1:32.789,1:32.660,2015,Japanese Grand Prix
2,1:38.558,1:37.672,1:37.433,2015,Russian Grand Prix
2,1:56.871,1:56.929,\N,2015,United States Grand Prix
2,1:20.808,1:19.829,1:19.668,2015,Mexican Grand Prix
2,1:11.682,1:11.665,1:11.360,2015,Brazilian Grand Prix
2,1:40.974,1:40.758,1:40.614,2015,Abu Dhabi Grand Prix
1,1:25.351,1:24.605,1:23.837,2016,Australian Grand Prix
1,1:31.391,1:30.039,1:29.493,2016,Bahrain Grand Prix
22,\N,\N,\N,2016,Chinese Grand Prix
10,1:36.006,1:35.820,\N,2016,Russian Grand Prix
1,1:23.214,1:22.159,1:22.000,2016,Spanish Grand Prix
3,1:14.826,1:14.056,1:13.942,2016,Monaco Grand Prix
1,1:14.121,1:13.076,1:12.812,2016,Canadian Grand Prix
10,1:44.259,1:43.526,2:01.954,2016,European Grand Prix
1,1:06.947,1:06.228,1:07.922,2016,Austrian Grand Prix
1,1:30.739,1:29.243,1:29.287,2016,British Grand Prix
2,1:34.210,1:24.836,1:20.108,2016,Hungarian Grand Prix
2,1:15.243,1:14.748,1:14.470,2016,German Grand Prix
21,1:50.033,\N,\N,2016,Belgian Grand Prix
1,1:21.854,1:21.498,1:21.135,2016,Italian Grand Prix
3,1:45.167,1:43.471,1:43.288,2016,Singapore Grand Prix
1,1:34.444,1:33.046,1:32.850,2016,Malaysian Grand Prix
2,1:32.218,1:31.129,1:30.660,2016,Japanese Grand Prix
1,1:36.296,1:36.450,1:34.999,2016,United States Grand Prix
1,1:19.447,1:19.137,1:18.704,2016,Mexican Grand Prix
1,1:11.511,1:11.238,1:10.736,2016,Brazilian Grand Prix
1,1:39.487,1:39.382,1:38.755,2016,Abu Dhabi Grand Prix
1,1:24.191,1:23.251,1:22.188,2017,Australian Grand Prix
1,1:33.333,1:32.406,1:31.678,2017,Chinese Grand Prix
2,1:30.814,1:29.535,1:28.792,2017,Bahrain Grand Prix
4,1:34.409,1:33.760,1:33.767,2017,Russian Grand Prix
1,1:20.511,1:20.210,1:19.149,2017,Spanish Grand Prix
14,1:13.640,1:14.106,\N,2017,Monaco Grand Prix
1,1:12.692,1:12.496,1:11.459,2017,Canadian Grand Prix
1,1:41.983,1:41.275,1:40.593,2017,Azerbaijan Grand Prix
3,1:05.064,1:04.800,1:04.424,2017,Austrian Grand Prix
1,1:39.069,1:27.893,1:26.600,2017,British Grand Prix
4,1:17.492,1:16.693,1:16.707,2017,Hungarian Grand Prix
1,1:44.184,1:42.927,1:42.553,2017,Belgian Grand Prix
1,1:36.009,1:34.660,1:35.554,2017,Italian Grand Prix
5,1:42.455,1:40.577,1:40.126,2017,Singapore Grand Prix
1,1:31.605,1:30.977,1:30.076,2017,Malaysian Grand Prix
1,1:29.047,1:27.819,1:27.319,2017,Japanese Grand Prix
1,1:34.822,1:33.437,1:33.108,2017,United States Grand Prix
3,1:17.518,1:17.035,1:16.934,2017,Mexican Grand Prix
20,\N,\N,\N,2017,Brazilian Grand Prix
2,1:37.391,1:36.742,1:36.403,2017,Abu Dhabi Grand Prix
1,1:22.824,1:22.051,1:21.164,2018,Australian Grand Prix
4,1:29.396,1:28.458,1:28.220,2018,Bahrain Grand Prix
4,1:33.283,1:31.914,1:31.675,2018,Chinese Grand Prix
2,1:42.693,1:42.676,1:41.677,2018,Azerbaijan Grand Prix
1,1:17.633,1:17.166,1:16.173,2018,Spanish Grand Prix
3,1:12.460,1:11.584,1:11.232,2018,Monaco Grand Prix
4,1:11.835,1:11.740,1:10.996,2018,Canadian Grand Prix
1,1:31.271,1:30.645,1:30.029,2018,French Grand Prix
2,1:04.080,1:03.577,1:03.149,2018,Austrian Grand Prix
1,1:26.818,1:26.256,1:25.892,2018,British Grand Prix
14,1:13.012,\N,\N,2018,German Grand Prix
1,1:17.419,1:31.242,1:35.658,2018,Hungarian Grand Prix
1,1:42.977,1:41.553,1:58.179,2018,Belgian Grand Prix
3,1:20.810,1:19.798,1:19.294,2018,Italian Grand Prix
1,1:39.403,1:37.344,1:36.015,2018,Singapore Grand Prix
2,1:32.410,1:32.595,1:31.532,2018,Russian Grand Prix
1,1:28.702,1:28.017,1:27.760,2018,Japanese Grand Prix
1,1:34.130,1:33.480,1:32.237,2018,United States Grand Prix
3,1:15.673,1:15.644,1:14.894,2018,Mexican Grand Prix
1,1:08.464,1:07.795,1:07.281,2018,Brazilian Grand Prix
1,1:36.828,1:35.693,1:34.794,2018,Abu Dhabi Grand Prix
1,1:22.043,1:21.014,1:20.486,2019,Australian Grand Prix
3,1:29.262,1:28.578,1:28.190,2019,Bahrain Grand Prix
2,1:33.115,1:31.637,1:31.570,2019,Chinese Grand Prix
2,1:41.614,1:41.580,1:40.554,2019,Azerbaijan Grand Prix
2,1:17.292,1:16.038,1:16.040,2019,Spanish Grand Prix
1,1:11.542,1:10.835,1:10.166,2019,Monaco Grand Prix
2,1:11.518,1:11.010,1:10.446,2019,Canadian Grand Prix
1,1:30.609,1:29.520,1:28.319,2019,French Grand Prix
2,1:03.818,1:03.803,1:03.262,2019,Austrian Grand Prix
2,1:25.513,1:25.840,1:25.099,2019,British Grand Prix
1,1:12.852,1:12.149,1:11.767,2019,German Grand Prix
3,1:16.068,1:15.548,1:14.769,2019,Hungarian Grand Prix
3,1:45.260,1:43.592,1:43.282,2019,Belgian Grand Prix
2,1:20.272,1:19.464,1:19.346,2019,Italian Grand Prix
2,1:37.565,1:36.933,1:36.408,2019,Singapore Grand Prix
2,1:33.230,1:33.134,1:32.030,2019,Russian Grand Prix
4,1:28.735,1:27.826,1:27.302,2019,Japanese Grand Prix
4,1:16.424,1:15.721,1:15.262,2019,Mexican Grand Prix
5,1:33.454,1:33.045,1:32.321,2019,United States Grand Prix
3,1:08.614,1:08.088,1:07.699,2019,Brazilian Grand Prix
1,1:35.851,1:35.634,1:34.779,2019,Abu Dhabi Grand Prix
2,1:04.198,1:03.096,1:02.951,2020,Austrian Grand Prix
1,1:18.188,1:17.825,1:19.273,2020,Styrian Grand Prix
1,1:14.907,1:14.261,1:13.447,2020,Hungarian Grand Prix
1,1:25.900,1:25.347,1:24.303,2020,British Grand Prix
2,1:26.818,1:26.266,1:25.217,2020,70th Anniversary Grand Prix
1,1:16.872,1:16.013,1:15.584,2020,Spanish Grand Prix
1,1:42.323,1:42.014,1:41.252,2020,Belgian Grand Prix
1,1:19.514,1:19.092,1:18.887,2020,Italian Grand Prix
1,1:15.778,1:15.309,1:15.144,2020,Tuscan Grand Prix
1,1:32.983,1:32.835,1:31.304,2020,Russian Grand Prix
2,1:26.620,1:25.390,1:25.525,2020,Eifel Grand Prix
1,1:16.828,1:16.824,1:16.652,2020,Portuguese Grand Prix
2,1:14.229,1:14.643,1:13.706,2020,Emilia Romagna Grand Prix
6,2:07.599,1:52.709,1:52.560,2020,Turkish Grand Prix
1,1:28.343,1:27.586,1:27.264,2020,Bahrain Grand Prix
3,1:35.528,1:35.466,1:35.332,2020,Abu Dhabi Grand Prix
2,1:30.617,1:30.085,1:29.385,2021,Bahrain Grand Prix
1,1:14.823,1:14.817,1:14.411,2021,Emilia Romagna Grand Prix
2,1:18.857,1:17.968,1:18.355,2021,Portuguese Grand Prix
1,1:18.245,1:17.166,1:16.741,2021,Spanish Grand Prix
7,1:11.622,1:11.116,1:11.095,2021,Monaco Grand Prix
2,1:41.545,1:41.634,1:41.450,2021,Azerbaijan Grand Prix
2,1:31.237,1:30.788,1:30.248,2021,French Grand Prix
3,1:04.672,1:04.512,1:04.067,2021,Styrian Grand Prix
4,1:04.506,1:04.258,1:04.014,2021,Austrian Grand Prix
1,1:26.786,1:26.023,1:26.134,2021,British Grand Prix
1,1:16.424,1:16.553,1:15.419,2021,Hungarian Grand Prix
3,1:59.218,1:56.229,2:00.099,2021,Belgian Grand Prix
2,1:10.114,1:09.726,1:08.923,2021,Dutch Grand Prix
2,1:20.543,1:19.936,1:19.651,2021,Italian Grand Prix
4,1:45.992,1:45.129,1:44.050,2021,Russian Grand Prix
1,1:24.585,1:23.082,1:22.868,2021,Turkish Grand Prix
2,1:34.579,1:33.797,1:33.119,2021,United States Grand Prix
2,1:17.207,1:16.474,1:16.020,2021,Mexico City Grand Prix
1,1:08.733,1:08.068,1:07.934,2021,São Paulo Grand Prix
1,1:21.901,1:21.682,1:20.827,2021,Qatar Grand Prix
1,1:28.466,1:27.712,1:27.511,2021,Saudi Arabian Grand Prix
2,1:22.845,1:23.145,1:22.480,2021,Abu Dhabi Grand Prix
5,1:32.285,1:31.048,1:31.238,2022,Bahrain Grand Prix
16,1:30.343,\N,\N,2022,Saudi Arabian Grand Prix
5,1:19.401,1:19.106,1:18.825,2022,Australian Grand Prix
13,1:20.470,1:21.138,,2022,Emilia Romagna Grand Prix
6,1:30.388,1:29.797,1:29.625,2022,Miami Grand Prix
6,1:20.252,1:19.794,1:19.512,2022,Spanish Grand Prix
8,1:13.444,1:12.595,1:12.560,2022,Monaco Grand Prix
7,1:43.939,1:43.182,1:42.924,2022,Azerbaijan Grand Prix
4,1:33.841,1:25.543,1:22.891,2022,Canadian Grand Prix
5,1:40.428,1:41.062,1:41.995,2022,British Grand Prix
9,1:06.079,1:05.475,1:13.151,2022,Austrian Grand Prix
4,1:33.041,1:32.274,1:31.765,2022,French Grand Prix
7,1:18.374,1:18.035,1:18.142,2022,Hungarian Grand Prix
7,1:45.736,1:45.420,1:45.503,2022,Belgian Grand Prix
4,1:11.331,1:11.075,1:10.648,2022,Dutch Grand Prix
5,1:22.048,1:21.708,1:21.524,2022,Italian Grand Prix
3,1:53.161,1:52.691,1:49.466,2022,Singapore Grand Prix
6,1:30.906,1:30.443,1:30.261,2022,Japanese Grand Prix
5,1:36.148,1:35.732,1:34.947,2022,United States Grand Prix
3,1:19.169,1:18.552,1:18.084,2022,Mexico City Grand Prix
8,1:13.403,1:11.539,1:12.611,2022,Brazilian Grand Prix
5,1:25.594,1:24.774,1:24.508,2022,Abu Dhabi Grand Prix
7,1:31.543,1:30.513,1:30.384,2023,Bahrain Grand Prix
8,1:29.689,1:29.374,1:29.223,2023,Saudi Arabian Grand Prix
3,1:17.689,1:17.551,1:17.104,2023,Australian Grand Prix
5,1:42.113,1:41.650,1:41.177,2023,Azerbaijan Grand Prix
13,1:27.846,1:27.975,\N,2023,Miami Grand Prix
6,1:12.872,1:12.156,1:11.725,2023,Monaco Grand Prix
5,1:12.937,1:12.999,1:12.818,2023,Spanish Grand Prix
4,1:21.554,1:20.426,1:27.627,2023,Canadian Grand Prix
5,1:05.673,1:05.188,1:04.819,2023,Austrian Grand Prix
7,1:29.415,1:28.545,1:27.211,2023,British Grand Prix
1,1:18.577,1:17.427,1:16.609,2023,Hungarian Grand Prix
4,1:58.563,1:52.345,1:47.087,2023,Belgian Grand Prix
